,cluster,word,frequency
0,383.0,abajo,299
1,466.0,abanderados,86
2,549.0,abandonado,115
3,200.0,abandonar,185
4,200.0,abandonaron,67
5,457.0,abandono,97
6,93.0,abastecer,109
7,93.0,abastecimiento,182
8,93.0,abastecimientos,142
9,344.0,abierta,108
10,344.0,abiertamente,112
11,361.0,abiertas,100
12,549.0,abierto,131
13,200.0,abiertos,73
14,312.0,abismo,88
15,466.0,abnegacion,68
16,111.0,abnegado,76
17,200.0,abnegados,78
18,77.0,abogado,110
19,206.0,abogados,154
20,312.0,abolir,73
21,93.0,abono,89
22,207.0,abordar,131
23,200.0,abre,136
24,200.0,abren,67
25,200.0,abrieron,83
26,344.0,abril,474
27,200.0,abrio,83
28,200.0,abrir,184
29,466.0,absoluta,491
30,466.0,absolutamente,1277
31,466.0,absoluto,391
32,207.0,absurda,138
33,77.0,absurdas,75
34,365.0,absurdo,238
35,344.0,abucheos,207
36,93.0,abundancia,237
37,93.0,abundante,93
38,93.0,abundantes,86
39,344.0,abuso,174
40,344.0,abusos,167
41,206.0,aca,341
42,339.0,acaba,365
43,200.0,acababa,69
44,549.0,acabado,83
45,299.0,acabamos,117
46,200.0,acaban,179
47,206.0,acabar,279
48,200.0,acabaron,139
49,200.0,acabe,82
50,344.0,acabo,315
51,70.0,academia,135
52,466.0,acaso,1018
53,70.0,acceso,272
54,69.0,accidente,145
55,111.0,accidentes,151
56,344.0,accion,606
57,344.0,acciones,502
58,93.0,aceite,71
59,593.0,aceleradamente,114
60,593.0,acelerado,128
61,207.0,acelerar,111
62,593.0,acento,70
63,200.0,aceptamos,89
64,466.0,aceptar,263
65,437.0,acerca,725
66,93.0,acero,423
67,206.0,aclarar,104
68,69.0,acompanado,73
69,93.0,acondicionado,91
70,466.0,acontecimiento,142
71,466.0,acontecimientos,470
72,93.0,acopio,314
73,549.0,acordado,93
74,200.0,acordaron,69
75,200.0,acorde,70
76,200.0,acordo,103
77,549.0,acostumbrado,91
78,77.0,acostumbrados,143
79,200.0,acreedores,127
80,466.0,actitud,929
81,361.0,actitudes,104
82,111.0,activa,106
83,70.0,actividad,805
84,70.0,actividades,1784
85,466.0,acto,1629
86,344.0,actos,750
87,77.0,actua,115
88,549.0,actuado,92
89,278.0,actual,852
90,70.0,actuales,449
91,70.0,actualidad,232
92,93.0,actualmente,657
93,200.0,actuan,122
94,457.0,actuando,123
95,466.0,actuar,365
96,206.0,acudir,179
97,593.0,acueducto,74
98,70.0,acueductos,89
99,225.0,acuerdo,1767
100,344.0,acuerdos,531
101,365.0,acumulada,88
102,549.0,acumulado,165
103,70.0,acumulando,100
104,299.0,acumular,69
105,344.0,acusar,96
106,93.0,adecuada,229
107,93.0,adecuadas,214
108,365.0,adecuado,150
109,93.0,adecuados,120
110,549.0,adelantado,88
111,207.0,adelantar,82
112,466.0,adelante,1819
113,111.0,ademas,4765
114,206.0,adentro,72
115,93.0,adicional,143
116,93.0,adicionales,175
117,312.0,administracion,710
118,93.0,administrador,356
119,542.0,administradores,265
120,593.0,administrar,91
121,312.0,administrativa,90
122,365.0,administrativo,107
123,361.0,administrativos,98
124,466.0,admirable,158
125,466.0,admiracion,355
126,365.0,admite,71
127,206.0,admitir,82
128,70.0,adolescentes,224
129,206.0,adonde,119
130,549.0,adoptado,69
131,206.0,adoptar,252
132,365.0,adquiere,137
133,111.0,adquieren,98
134,549.0,adquirido,344
135,70.0,adquiriendo,277
136,69.0,adquirieron,105
137,111.0,adquirio,75
138,93.0,adquirir,660
139,93.0,adquisicion,121
140,77.0,adquisitivo,70
141,70.0,adultos,279
142,466.0,adversario,109
143,77.0,adversarios,107
144,457.0,adversas,68
145,206.0,advertir,78
146,361.0,advierto,120
147,344.0,aerea,201
148,344.0,aereas,138
149,344.0,aereo,168
150,344.0,aeropuerto,207
151,365.0,afan,98
152,111.0,afecta,217
153,457.0,afectadas,88
154,549.0,afectado,112
155,278.0,afectados,187
156,278.0,afectan,143
157,593.0,afectando,70
158,312.0,afectar,157
159,299.0,afecto,214
160,111.0,aficionados,69
161,299.0,afirma,78
162,365.0,afirmacion,72
163,466.0,afirmar,242
164,200.0,afirmo,72
165,207.0,afortunadamente,363
166,344.0,africa,1092
167,344.0,africanos,220
168,466.0,afrontar,219
169,206.0,afuera,162
170,344.0,agencia,158
171,344.0,agencias,206
172,344.0,agente,80
173,344.0,agentes,310
174,339.0,agosto,323
175,207.0,agradable,159
176,466.0,agradecidos,74
177,466.0,agradecimiento,125
178,344.0,agramonte,172
179,207.0,agraria,1169
180,457.0,agredido,90
181,344.0,agredir,97
182,344.0,agresion,1097
183,344.0,agresiones,745
184,344.0,agresiva,135
185,344.0,agresivo,85
186,344.0,agresivos,76
187,344.0,agresores,119
188,93.0,agricola,819
189,93.0,agricolas,932
190,93.0,agricultor,178
191,93.0,agricultores,501
192,93.0,agricultura,2199
193,70.0,agronomia,73
194,70.0,agronomos,75
195,93.0,agropecuaria,133
196,69.0,agrupacion,91
197,593.0,agrupaciones,68
198,93.0,agua,1768
199,93.0,aguas,312
200,206.0,ah,961
201,206.0,ahi,3240
202,207.0,ahora,9069
203,93.0,ahorra,105
204,93.0,ahorrando,82
205,93.0,ahorrar,331
206,93.0,ahorro,551
207,93.0,ahorros,118
208,93.0,aire,408
209,69.0,aislada,71
210,77.0,aislado,111
211,383.0,aislados,138
212,344.0,aislamiento,119
213,299.0,aislar,76
214,77.0,ajuste,82
215,206.0,alarcon,86
216,466.0,albergar,112
217,111.0,albergue,79
218,70.0,albergues,70
219,93.0,alcance,478
220,200.0,alcantarillado,68
221,93.0,alcanza,441
222,93.0,alcanzaba,123
223,93.0,alcanzaban,104
224,549.0,alcanzado,598
225,339.0,alcanzados,132
226,93.0,alcanzan,306
227,225.0,alcanzando,89
228,466.0,alcanzar,896
229,200.0,alcanzara,96
230,383.0,alcanzaron,110
231,122.0,alcanzo,236
232,93.0,alcohol,67
233,200.0,aldeas,81
234,437.0,alegramos,124
235,466.0,alegria,506
236,200.0,alegro,70
237,69.0,aleman,72
238,344.0,alemania,113
239,207.0,alentador,134
240,339.0,alerta,129
241,70.0,alfabetizacion,307
242,70.0,alfabetizadores,150
243,466.0,algo,5232
244,93.0,algodon,169
245,206.0,alguien,1467
246,437.0,algun,2432
247,466.0,alguna,2228
248,93.0,algunas,3982
249,466.0,alguno,598
250,70.0,algunos,6872
251,344.0,aliado,135
252,344.0,aliados,418
253,344.0,alianza,326
254,466.0,aliento,231
255,93.0,alimentacion,490
256,93.0,alimentar,139
257,207.0,alimentario,94
258,93.0,alimenticia,127
259,93.0,alimenticios,87
260,93.0,alimento,290
261,93.0,alimentos,1039
262,344.0,alineados,269
263,207.0,aliviar,80
264,344.0,alla,2551
265,344.0,allende,222
266,207.0,alli,7355
267,466.0,alma,227
268,93.0,almacenes,101
269,200.0,almeida,77
270,200.0,almuerzo,106
271,93.0,alquiler,228
272,93.0,alquileres,194
273,93.0,alrededor,1651
274,200.0,alrededores,131
275,93.0,alta,718
276,70.0,altamente,246
277,122.0,altas,196
278,466.0,alternativa,266
279,122.0,altisimo,92
280,383.0,alto,1421
281,93.0,altos,506
282,365.0,altura,237
283,93.0,aluminio,75
284,70.0,alumnas,79
285,122.0,alumno,164
286,70.0,alumnos,1697
287,344.0,alvarez,74
288,365.0,alza,68
289,344.0,amanecer,118
290,122.0,ambas,112
291,466.0,ambicion,89
292,77.0,ambiciones,92
293,207.0,ambicioso,87
294,299.0,ambiciosos,84
295,593.0,ambiente,365
296,344.0,ambos,193
297,344.0,amenaza,431
298,457.0,amenazado,72
299,344.0,amenazan,172
300,200.0,amenazar,67
301,344.0,amenazas,532
302,466.0,america,4464
303,344.0,americana,152
304,344.0,americano,162
305,344.0,americanos,200
306,383.0,ametralladoras,68
307,344.0,amigo,340
308,344.0,amigos,658
309,466.0,amistad,483
310,344.0,amo,83
311,466.0,amor,318
312,344.0,amos,144
313,339.0,amplia,278
314,70.0,ampliacion,157
315,299.0,ampliamente,192
316,70.0,ampliando,67
317,70.0,ampliar,177
318,365.0,amplio,252
319,365.0,amplitud,69
320,299.0,anade,89
321,299.0,anadio,67
322,207.0,anadir,275
323,542.0,analfabetismo,544
324,77.0,analfabeto,162
325,542.0,analfabetos,527
326,207.0,analisis,538
327,365.0,analiza,92
328,549.0,analizado,95
329,207.0,analizamos,132
330,200.0,analizan,67
331,361.0,analizando,197
332,207.0,analizar,447
333,361.0,anap,163
334,365.0,anarquia,71
335,278.0,ancho,162
336,111.0,anciano,85
337,70.0,ancianos,275
338,200.0,anda,189
339,200.0,andaban,76
340,206.0,andan,254
341,206.0,andar,362
342,344.0,angola,771
343,344.0,angolanos,177
344,200.0,angustia,89
345,93.0,animal,206
346,93.0,animales,335
347,466.0,animo,296
348,466.0,aniversario,648
349,93.0,ano,10778
350,93.0,anos,14836
351,77.0,ansias,76
352,344.0,ante,1983
353,361.0,antecedentes,105
354,206.0,antemano,82
355,339.0,anterior,480
356,339.0,anteriores,298
357,207.0,anteriormente,295
358,339.0,antes,4963
359,383.0,antiaereas,99
360,69.0,antigua,172
361,593.0,antiguas,89
362,344.0,antiguo,116
363,542.0,antiguos,186
364,344.0,antonio,313
365,93.0,anual,120
366,93.0,anuales,117
367,93.0,anualmente,76
368,344.0,anuncio,81
369,344.0,ap,116
370,207.0,aparato,249
371,206.0,aparece,244
372,361.0,aparecen,181
373,206.0,aparecer,162
374,200.0,aparecia,77
375,200.0,aparecian,71
376,549.0,aparecido,81
377,200.0,aparecieron,86
378,200.0,aparecio,103
379,593.0,aparentemente,151
380,70.0,apartados,169
381,77.0,apartamento,75
382,93.0,apartamentos,153
383,93.0,aparte,554
384,344.0,apartheid,232
385,272.0,apenas,988
386,457.0,apertura,88
387,344.0,aplastar,249
388,466.0,aplausos,29057
389,365.0,aplica,115
390,70.0,aplicacion,407
391,549.0,aplicado,125
392,361.0,aplican,104
393,70.0,aplicando,239
394,207.0,aplicar,647
395,365.0,aplico,67
396,344.0,apoderaron,91
397,344.0,apoderarse,168
398,111.0,aporta,76
399,111.0,aportar,118
400,457.0,aporte,384
401,299.0,aportes,71
402,200.0,apostol,74
403,344.0,apoya,124
404,549.0,apoyado,84
405,69.0,apoyados,69
406,200.0,apoyamos,98
407,344.0,apoyan,112
408,69.0,apoyando,67
409,344.0,apoyar,296
410,344.0,apoyaron,91
411,344.0,apoyo,1654
412,200.0,apreciamos,67
413,70.0,apreciar,471
414,299.0,aprecio,80
415,200.0,aprendan,72
416,207.0,aprende,95
417,200.0,aprenden,81
418,466.0,aprender,680
419,549.0,aprendido,422
420,437.0,aprendiendo,238
421,200.0,aprendieron,104
422,299.0,aprendio,86
423,207.0,aprendizaje,130
424,344.0,aprobacion,101
425,549.0,aprobado,115
426,93.0,aprovechamiento,107
427,69.0,aprovechando,98
428,207.0,aprovechar,316
429,200.0,aprovecho,71
430,93.0,aproximadamente,856
431,206.0,aqui,15334
432,344.0,arabes,86
433,457.0,aras,86
434,77.0,arbol,126
435,93.0,arboles,276
436,93.0,area,876
437,93.0,areas,865
438,93.0,arena,201
439,344.0,argelia,292
440,344.0,argelinos,92
441,344.0,argentina,254
442,344.0,argumento,209
443,344.0,argumentos,356
444,344.0,arma,440
445,344.0,armada,267
446,344.0,armadas,856
447,344.0,armado,234
448,542.0,armados,314
449,278.0,armamentista,169
450,383.0,armamento,123
451,383.0,armamentos,101
452,299.0,armando,79
453,383.0,armar,78
454,344.0,armas,3783
455,365.0,arquitecto,114
456,70.0,arquitectos,246
457,70.0,arquitectura,85
458,206.0,arrancar,70
459,206.0,arrastrar,113
460,200.0,arrebatar,68
461,206.0,arreglar,125
462,383.0,arriba,353
463,93.0,arrobas,470
464,93.0,arrocera,72
465,93.0,arroceras,82
466,122.0,arroyo,69
467,93.0,arroz,964
468,70.0,arte,460
469,69.0,artemisa,87
470,70.0,artes,71
471,93.0,articulo,280
472,93.0,articulos,641
473,93.0,artificial,99
474,344.0,artilleria,185
475,457.0,artilleros,69
476,457.0,artistas,227
477,344.0,asalto,82
478,361.0,asamblea,855
479,70.0,asambleas,217
480,93.0,asciende,96
481,93.0,asegurada,106
482,111.0,asegurado,167
483,278.0,asegurar,379
484,206.0,aseguro,153
485,200.0,asesinaban,74
486,344.0,asesinado,209
487,344.0,asesinados,242
488,344.0,asesinan,95
489,344.0,asesinar,197
490,344.0,asesinaron,195
491,344.0,asesinato,231
492,344.0,asesinatos,123
493,344.0,asesino,96
494,344.0,asesinos,235
495,542.0,asesores,108
496,280.0,asi,6173
497,344.0,asia,335
498,593.0,asiatico,67
499,361.0,asignaturas,68
500,70.0,asistencia,474
501,206.0,asistir,158
502,122.0,asociacion,256
503,70.0,asociaciones,117
504,207.0,asociado,107
505,361.0,asociados,81
506,200.0,asombro,82
507,70.0,aspecto,273
508,225.0,aspectos,363
509,200.0,aspira,110
510,466.0,aspiracion,314
511,225.0,aspiraciones,273
512,200.0,aspiramos,243
513,200.0,aspiran,80
514,122.0,aspirantes,74
515,466.0,aspirar,226
516,69.0,asumir,88
517,207.0,asunto,122
518,344.0,asuntos,194
519,200.0,asusta,76
520,206.0,asustar,93
521,344.0,atacan,113
522,361.0,atacando,72
523,344.0,atacar,244
524,344.0,atacaron,90
525,344.0,ataque,635
526,344.0,ataques,404
527,70.0,atencion,1338
528,299.0,atenciones,91
529,93.0,atender,458
530,361.0,atendidos,87
531,361.0,atendiendo,81
532,344.0,atentados,111
533,299.0,atiende,77
534,361.0,atienden,80
535,299.0,atleta,124
536,70.0,atletas,570
537,365.0,atmosfera,198
538,69.0,atomica,69
539,466.0,atomo,84
540,437.0,atras,602
541,111.0,atrasada,69
542,593.0,atrasados,104
543,70.0,atraso,210
544,278.0,atravesar,78
545,457.0,auge,135
546,361.0,aula,193
547,70.0,aulas,270
548,93.0,aumenta,222
549,549.0,aumentado,153
550,93.0,aumentan,92
551,93.0,aumentando,140
552,93.0,aumentar,437
553,122.0,aumentara,68
554,93.0,aumento,654
555,93.0,aumentos,124
556,278.0,aun,2061
557,466.0,aunque,3711
558,122.0,ausencia,136
559,111.0,ausentismo,68
560,93.0,autoconsumo,70
561,93.0,automovil,216
562,93.0,automoviles,303
563,593.0,autopista,105
564,344.0,autor,84
565,344.0,autores,178
566,344.0,autoridad,354
567,344.0,autoridades,502
568,70.0,auxiliares,102
569,466.0,avance,672
570,70.0,avances,463
571,70.0,avanza,324
572,70.0,avanzada,128
573,593.0,avanzadas,69
574,549.0,avanzado,391
575,457.0,avanzados,85
576,593.0,avanzamos,84
577,593.0,avanzan,84
578,437.0,avanzando,282
579,70.0,avanzar,419
580,93.0,ave,82
581,344.0,aventura,96
582,77.0,aventuras,84
583,93.0,aves,147
584,344.0,aviacion,251
585,361.0,avila,133
586,344.0,avion,730
587,344.0,aviones,1385
588,272.0,ayer,1341
589,466.0,ayuda,1436
590,549.0,ayudado,157
591,200.0,ayudan,183
592,437.0,ayudando,230
593,466.0,ayudar,1037
594,200.0,ayudara,95
595,200.0,ayudarlos,68
596,299.0,ayudarnos,82
597,200.0,ayudaron,145
598,200.0,ayude,94
599,200.0,ayuden,112
600,200.0,ayudo,120
